uid,clfir_final_clinical_accuracy_score,clfir_final_groundedness_score,clfir_final_completeness_score,clfir_final_style_score,clfir_final_overall_score,adapter2_more_imp_clinical_accuracy_score,adapter2_more_imp_groundedness_score,adapter2_more_imp_completeness_score,adapter2_more_imp_style_score,adapter2_more_imp_overall_score
2621,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2622,9.0,10.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0
2623,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0
2624,7.0,6.0,6.0,8.0,7.0,9.0,9.0,7.0,10.0,8.0
2625,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0
2626,9.0,8.0,7.0,9.0,8.0,8.0,7.0,6.0,9.0,7.0
2627,8.0,9.0,7.0,9.0,8.0,9.0,10.0,7.0,9.0,9.0
2628,8.0,7.0,6.0,9.0,7.0,8.0,7.0,6.0,9.0,7.0
2629,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0
2631,9.0,8.0,7.0,9.0,8.0,9.0,9.0,7.0,9.0,8.0
2632,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0
2633,6.0,4.0,3.0,8.0,5.0,6.0,4.0,3.0,8.0,5.0
2636,9.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0
2637,8.0,9.0,6.0,9.0,8.0,6.0,7.0,5.0,8.0,6.0
2638,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2639,9.0,10.0,8.0,9.0,9.0,9.0,10.0,7.0,9.0,9.0
2640,6.0,7.0,7.0,8.0,7.0,9.0,10.0,10.0,9.0,10.0
2642,6.0,4.0,3.0,8.0,5.0,6.0,7.0,5.0,8.0,6.0
2643,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2644,6.0,7.0,5.0,8.0,6.0,6.0,7.0,5.0,8.0,6.0
2645,8.0,9.0,7.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0
2646,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2647,2.0,1.0,3.0,7.0,3.0,9.0,10.0,7.0,9.0,9.0
2651,2.0,2.0,6.0,7.0,4.0,4.0,3.0,6.0,7.0,5.0
2652,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2653,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2654,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2655,6.0,3.0,7.0,8.0,6.0,9.0,10.0,8.0,9.0,9.0
2657,6.0,7.0,7.0,8.0,7.0,4.0,3.0,6.0,7.0,5.0
2658,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2659,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0
2660,9.0,8.0,7.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0
2661,6.0,8.0,7.0,9.0,7.0,9.0,10.0,8.0,9.0,9.0
2662,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2663,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0
2664,7.0,8.0,6.0,9.0,7.0,7.0,8.0,6.0,9.0,7.0
2665,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0
2666,6.0,3.0,4.0,8.0,5.0,7.0,8.0,6.0,9.0,7.0
2667,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0
2668,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2669,6.0,4.0,3.0,8.0,5.0,6.0,4.0,3.0,8.0,5.0
2670,7.0,8.0,6.0,9.0,7.0,6.0,7.0,5.0,8.0,6.0
2671,2.0,1.0,3.0,6.0,3.0,7.0,8.0,6.0,9.0,7.0
2672,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0
2673,8.0,9.0,7.0,9.0,8.0,7.0,8.0,6.0,9.0,7.0
2674,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2676,7.0,8.0,6.0,8.0,7.0,7.0,8.0,6.0,9.0,7.0
2677,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2679,9.0,9.0,8.0,9.0,9.0,7.0,8.0,6.0,9.0,7.0
2680,2.0,1.0,6.0,8.0,4.0,9.0,10.0,9.0,9.0,9.0
2681,9.0,9.0,7.0,9.0,8.0,9.0,9.0,7.0,9.0,8.0
2683,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2684,9.0,8.0,7.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0
2685,9.0,9.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2686,6.0,3.0,7.0,8.0,6.0,9.0,10.0,8.0,9.0,9.0
2687,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2688,8.0,9.0,7.0,9.0,8.0,7.0,8.0,6.0,9.0,7.0
2689,6.0,4.0,5.0,8.0,6.0,6.0,4.0,3.0,8.0,5.0
2690,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2691,7.0,8.0,6.0,9.0,7.0,6.0,7.0,5.0,8.0,6.0
2692,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2693,9.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0
2694,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0
2695,8.0,7.0,7.0,9.0,8.0,7.0,6.0,6.0,9.0,7.0
2696,2.0,1.0,1.0,8.0,2.0,2.0,1.0,1.0,8.0,2.0
2698,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2699,9.0,10.0,8.0,9.0,9.0,9.0,10.0,7.0,9.0,9.0
2700,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2701,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2702,6.0,7.0,5.0,8.0,6.0,6.0,4.0,5.0,8.0,6.0
2704,8.0,9.0,6.0,9.0,8.0,6.0,4.0,3.0,8.0,5.0
2705,9.0,8.0,7.0,9.0,8.0,9.0,10.0,7.0,9.0,9.0
2706,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2708,8.0,9.0,7.0,9.0,8.0,9.0,9.0,7.0,10.0,8.0
2709,8.0,9.0,7.0,9.0,8.0,2.0,1.0,3.0,7.0,3.0
2710,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2711,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2712,9.0,10.0,8.0,9.0,9.0,9.0,9.0,7.0,9.0,8.0
2713,6.0,7.0,5.0,8.0,6.0,6.0,7.0,5.0,8.0,6.0
2714,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2715,7.0,8.0,6.0,9.0,7.0,8.0,7.0,6.0,9.0,7.0
2716,3.0,2.0,2.0,7.0,3.0,2.0,1.0,1.0,7.0,3.0
2717,9.0,10.0,8.0,9.0,9.0,9.0,8.0,7.0,8.0,8.0
2718,9.0,10.0,8.0,9.0,9.0,4.0,3.0,6.0,7.0,5.0
2719,6.0,7.0,5.0,8.0,6.0,6.0,4.0,5.0,8.0,6.0
2720,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2721,6.0,7.0,5.0,8.0,6.0,6.0,7.0,5.0,8.0,6.0
2722,3.0,3.0,2.0,7.0,3.0,3.0,3.0,2.0,7.0,3.0
2723,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2724,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2725,2.0,1.0,3.0,6.0,3.0,2.0,1.0,3.0,7.0,3.0
2726,9.0,9.0,7.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0
2727,8.0,9.0,7.0,9.0,8.0,8.0,9.0,7.0,9.0,8.0
2728,2.0,1.0,1.0,7.0,3.0,2.0,1.0,3.0,7.0,3.0
2729,7.0,8.0,6.0,9.0,7.0,7.0,8.0,6.0,9.0,7.0
2730,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0
2731,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2733,6.0,7.0,5.0,8.0,6.0,7.0,9.0,6.0,8.0,7.0
2734,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0
2735,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2737,8.0,7.0,6.0,9.0,7.0,2.0,1.0,3.0,7.0,3.0
2738,8.0,9.0,7.0,9.0,8.0,8.0,9.0,7.0,9.0,8.0
2739,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0
2740,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2741,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2742,9.0,10.0,7.0,9.0,9.0,9.0,10.0,7.0,9.0,9.0
2743,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2744,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2745,9.0,10.0,8.0,9.0,9.0,6.0,5.0,7.0,8.0,7.0
2746,9.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0
2747,7.0,6.0,6.0,8.0,7.0,8.0,7.0,6.0,9.0,7.0
2748,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0
2749,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2750,6.0,4.0,3.0,8.0,5.0,6.0,4.0,3.0,8.0,5.0
2751,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2752,6.0,7.0,5.0,8.0,6.0,2.0,1.0,1.0,7.0,2.0
2753,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2754,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2755,6.0,7.0,7.0,8.0,7.0,7.0,8.0,6.0,8.0,7.0
2756,2.0,1.0,3.0,6.0,3.0,3.0,2.0,4.0,7.0,4.0
2758,6.0,7.0,7.0,8.0,7.0,9.0,10.0,8.0,9.0,9.0
2759,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2760,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2761,6.0,7.0,5.0,8.0,6.0,6.0,7.0,5.0,8.0,6.0
2762,8.0,9.0,7.0,9.0,8.0,8.0,9.0,6.0,9.0,8.0
2763,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2764,2.0,1.0,3.0,7.0,3.0,3.0,2.0,6.0,7.0,4.0
2766,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2767,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2768,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2769,9.0,10.0,8.0,9.0,9.0,9.0,10.0,7.0,9.0,9.0
2770,9.0,8.0,7.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0
2771,9.0,9.0,7.0,8.0,8.0,9.0,9.0,7.0,9.0,8.0
2772,9.0,10.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,8.0
2773,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2774,8.0,9.0,7.0,9.0,8.0,8.0,9.0,7.0,9.0,8.0
2775,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2776,3.0,6.0,4.0,7.0,5.0,3.0,4.0,2.0,7.0,3.0
2777,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2778,6.0,7.0,5.0,8.0,6.0,7.0,8.0,6.0,9.0,7.0
2779,9.0,10.0,7.0,9.0,9.0,9.0,10.0,7.0,9.0,9.0
2780,8.0,9.0,7.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0
2781,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2782,6.0,3.0,7.0,8.0,6.0,9.0,8.0,7.0,9.0,8.0
2783,4.0,6.0,5.0,8.0,6.0,6.0,7.0,5.0,8.0,6.0
2784,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2785,9.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2786,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0
2787,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2788,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0
2789,6.0,7.0,7.0,8.0,7.0,6.0,7.0,7.0,8.0,7.0
2790,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2791,9.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2792,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2793,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2794,6.0,7.0,7.0,8.0,7.0,6.0,7.0,7.0,8.0,7.0
2795,7.0,8.0,6.0,9.0,7.0,8.0,9.0,7.0,9.0,8.0
2796,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2797,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2798,9.0,10.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,8.0
2799,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0
2801,3.0,2.0,4.0,6.0,3.0,4.0,3.0,5.0,7.0,4.0
2802,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2803,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2804,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0
2805,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0
2806,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2807,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2808,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2809,9.0,10.0,8.0,9.0,9.0,9.0,10.0,7.0,9.0,9.0
2810,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2811,2.0,2.0,3.0,7.0,3.0,2.0,1.0,3.0,6.0,3.0
2812,7.0,8.0,6.0,9.0,7.0,7.0,8.0,6.0,8.0,7.0
2813,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2814,7.0,6.0,6.0,8.0,7.0,6.0,4.0,7.0,8.0,6.0
2815,8.0,9.0,7.0,9.0,8.0,9.0,9.0,7.0,9.0,8.0
2817,6.0,5.0,4.0,8.0,6.0,7.0,6.0,6.0,8.0,7.0
2818,6.0,7.0,5.0,8.0,6.0,6.0,7.0,5.0,8.0,6.0
2819,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2820,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2821,9.0,10.0,8.0,9.0,9.0,9.0,10.0,7.0,9.0,9.0
2822,9.0,9.0,7.0,9.0,8.0,8.0,9.0,6.0,9.0,7.0
2824,8.0,9.0,7.0,9.0,8.0,7.0,6.0,5.0,9.0,6.0
2826,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0
2827,2.0,1.0,1.0,7.0,3.0,2.0,1.0,1.0,7.0,2.0
2828,2.0,1.0,3.0,7.0,3.0,2.0,1.0,1.0,6.0,2.0
2829,6.0,4.0,7.0,8.0,6.0,9.0,10.0,9.0,9.0,9.0
2830,2.0,1.0,3.0,7.0,3.0,2.0,1.0,3.0,6.0,3.0
2831,6.0,7.0,4.0,8.0,6.0,6.0,7.0,5.0,8.0,6.0
2832,6.0,7.0,7.0,8.0,7.0,6.0,7.0,7.0,8.0,7.0
2833,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2835,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2836,6.0,7.0,5.0,7.0,6.0,6.0,7.0,5.0,7.0,6.0
2837,8.0,9.0,6.0,9.0,8.0,8.0,9.0,6.0,9.0,8.0
2838,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0
2839,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2840,2.0,1.0,3.0,7.0,3.0,2.0,1.0,3.0,6.0,3.0
2842,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2843,3.0,2.0,1.0,7.0,2.0,3.0,2.0,1.0,7.0,2.0
2844,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0
2845,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2847,9.0,9.0,7.0,8.0,8.0,7.0,9.0,6.0,8.0,7.0
2848,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2850,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2851,9.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0
2852,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2854,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0
2855,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2856,9.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2857,8.0,7.0,6.0,9.0,7.0,8.0,9.0,6.0,9.0,7.0
2858,9.0,10.0,7.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0
2859,6.0,7.0,5.0,8.0,6.0,6.0,4.0,5.0,8.0,6.0
2860,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2861,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2862,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2863,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2864,2.0,1.0,3.0,7.0,3.0,6.0,4.0,3.0,8.0,5.0
2865,6.0,7.0,7.0,8.0,7.0,6.0,7.0,7.0,8.0,7.0
2866,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2867,7.0,6.0,6.0,8.0,7.0,7.0,6.0,6.0,8.0,7.0
2868,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2870,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2871,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2873,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2874,8.0,7.0,6.0,9.0,7.0,8.0,7.0,6.0,9.0,7.0
2876,9.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2877,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2879,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2880,9.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2882,8.0,9.0,7.0,9.0,8.0,7.0,9.0,7.0,8.0,8.0
2884,6.0,7.0,7.0,8.0,7.0,6.0,7.0,7.0,8.0,7.0
2885,8.0,7.0,6.0,9.0,7.0,8.0,7.0,6.0,9.0,7.0
2886,7.0,8.0,6.0,9.0,7.0,6.0,7.0,5.0,8.0,6.0
2887,3.0,2.0,1.0,6.0,2.0,6.0,7.0,5.0,8.0,6.0
2888,2.0,1.0,3.0,7.0,3.0,2.0,1.0,4.0,7.0,3.0
2889,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2890,9.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0
2891,6.0,7.0,5.0,8.0,6.0,6.0,7.0,5.0,8.0,6.0
2892,9.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2893,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0
2894,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2895,9.0,10.0,7.0,9.0,9.0,9.0,10.0,7.0,9.0,9.0
2897,6.0,3.0,7.0,8.0,6.0,3.0,2.0,2.0,7.0,3.0
2898,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2899,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0
2901,6.0,7.0,5.0,8.0,6.0,6.0,3.0,4.0,8.0,5.0
2902,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0
2903,9.0,10.0,8.0,9.0,9.0,2.0,1.0,3.0,7.0,3.0
2904,9.0,9.0,7.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0
2905,8.0,9.0,7.0,9.0,8.0,7.0,9.0,7.0,8.0,8.0
2906,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2908,9.0,10.0,7.0,9.0,9.0,8.0,9.0,7.0,9.0,8.0
2909,4.0,3.0,2.0,6.0,3.0,6.0,7.0,5.0,8.0,6.0
2910,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2911,8.0,9.0,7.0,9.0,8.0,8.0,9.0,7.0,9.0,8.0
2915,9.0,10.0,8.0,9.0,9.0,7.0,6.0,7.0,8.0,7.0
2916,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0
2917,2.0,1.0,3.0,7.0,3.0,6.0,4.0,5.0,8.0,6.0
2918,6.0,4.0,7.0,8.0,6.0,6.0,7.0,7.0,8.0,7.0
2919,7.0,6.0,6.0,8.0,7.0,8.0,9.0,7.0,9.0,8.0
2920,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2922,2.0,1.0,1.0,6.0,2.0,2.0,1.0,1.0,7.0,3.0
2923,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2924,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2925,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2926,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
